Latitude,Longitude,Object Name
34.837805,128.422053,circular fish trap
36.089538,126.614597,circular fish trap
35.877411,129.523722,circular fish trap
35.877411,129.523722,circular fish trap
37.055768,129.421697,circular fish trap
37.055768,129.421697,circular fish trap
37.055768,129.421697,circular fish trap
36.509941,129.450485,circular fish trap
38.500066,128.428822,circular fish trap
38.500066,128.428822,circular fish trap
38.500066,128.428822,circular fish trap
38.500066,128.428822,circular fish trap
38.500066,128.428822,circular fish trap
36.72463,129.474399,circular fish trap
36.72463,129.474399,circular fish trap
36.72463,129.474399,circular fish trap
36.72463,129.474399,circular fish trap
36.72463,129.474399,circular fish trap
36.72463,129.474399,circular fish trap
36.72463,129.474399,circular fish trap
36.72463,129.474399,circular fish trap
36.72463,129.474399,circular fish trap
36.72463,129.474399,circular fish trap
36.72463,129.474399,circular fish trap
36.72463,129.474399,circular fish trap
36.72463,129.474399,circular fish trap
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
36.358498,129.394431,pet
35.877411,129.523722,pet
35.877411,129.523722,pet
35.877411,129.523722,pet
35.877411,129.523722,pet
37.055768,129.421697,pet
37.055768,129.421697,pet
37.055768,129.421697,pet
37.055768,129.421697,pet
37.055768,129.421697,pet
37.055768,129.421697,pet
37.055768,129.421697,pet
37.055768,129.421697,pet
37.055768,129.421697,pet
38.500066,128.428822,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
36.358498,129.394431,pet
36.358498,129.394431,pet
35.877411,129.523722,pet
35.877411,129.523722,pet
38.500066,128.428822,pet
38.500066,128.428822,pet
38.500066,128.428822,pet
38.500066,128.428822,pet
38.500066,128.428822,pet
38.500066,128.428822,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
35.987252,129.556157,pet
35.987252,129.556157,pet
37.055768,129.421697,pet
37.055768,129.421697,pet
38.500066,128.428822,pet
38.500066,128.428822,pet
38.500066,128.428822,pet
38.500066,128.428822,pet
38.500066,128.428822,pet
38.500066,128.428822,pet
38.500066,128.428822,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
36.72463,129.474399,pet
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
35.987252,129.556157,fish net
33.522041,126.535568,fish net
33.522041,126.535568,fish net
36.358498,129.394431,fish net
